Task_Difficulty,Task_Type,Task_Duration,Member_Skill_Level,Member_Experience,Member_Workload,PerformanceScore
Medium,Testing,40,5,12,40,10
Medium,Testing,28,4,10,99,3
Easy,Testing,72,3,8,61,6
Easy,Testing,83,4,17,75,3
Hard,Development,96,5,1,18,10
Medium,Documentation,13,5,17,63,10
Medium,Testing,46,3,8,37,4
Hard,Development,15,2,11,78,2
Easy,Documentation,16,5,3,46,2
Easy,Documentation,48,1,2,78,3
Medium,Documentation,16,3,20,20,4
Hard,Testing,65,3,1,22,5
Easy,Testing,20,3,16,59,9
Hard,Development,31,5,9,27,6
Easy,Testing,25,4,8,22,4
Easy,Documentation,66,1,12,47,6
Easy,Development,83,4,10,52,5
Easy,Testing,25,2,18,50,8
Easy,Development,1,4,7,53,3
Hard,Development,41,3,11,96,2
Medium,Testing,5,5,18,22,1
Hard,Development,87,2,9,73,8
Medium,Testing,62,5,15,33,7
Easy,Testing,38,4,12,60,6
Easy,Testing,47,1,3,96,10
Medium,Testing,53,1,16,28,9
Hard,Documentation,67,2,6,98,8
Medium,Documentation,2,2,15,68,5
Hard,Development,14,3,13,13,1
Easy,Documentation,83,2,2,58,9
Medium,Documentation,75,3,3,92,6
Hard,Documentation,74,2,18,22,1
Hard,Development,86,4,1,55,6
Hard,Testing,50,1,13,16,10
Hard,Testing,80,4,1,88,7
Hard,Development,44,5,14,100,1
Medium,Testing,38,1,2,5,1
Hard,Testing,73,3,3,71,3
Hard,Testing,75,2,12,14,5
Easy,Testing,56,4,17,81,5
Hard,Documentation,71,5,4,52,5
Easy,Development,68,3,7,55,1
Hard,Testing,79,3,17,33,4
Easy,Documentation,52,4,1,90,7
Hard,Testing,56,2,17,87,4
Hard,Testing,50,2,19,7,2
Medium,Documentation,31,1,16,97,10
Hard,Development,38,5,18,82,2
Medium,Documentation,56,3,18,33,7
Easy,Documentation,80,3,11,78,4
Medium,Development,37,5,17,41,6
Easy,Documentation,29,5,6,1,10
Easy,Development,66,2,18,17,5
Medium,Development,27,3,14,29,2
Hard,Testing,57,5,15,41,6
Easy,Testing,84,1,5,24,10
Easy,Documentation,42,5,1,32,10
Medium,Development,4,4,6,64,1
Easy,Testing,37,2,18,31,6
Medium,Documentation,96,1,1,3,8
Medium,Documentation,15,4,11,66,1
Hard,Documentation,4,4,1,45,7
Easy,Documentation,98,4,8,19,3
Easy,Documentation,12,5,19,69,2
Hard,Testing,19,2,3,39,2
Hard,Documentation,86,4,16,15,10
Easy,Testing,63,1,7,11,2
Easy,Testing,39,3,10,91,6
Medium,Documentation,58,4,9,96,10
Medium,Development,14,4,16,32,4
Easy,Testing,91,2,14,90,2
Hard,Development,73,5,12,72,4
Easy,Development,55,5,8,29,4
Medium,Development,22,5,13,7,4
Easy,Documentation,14,4,8,96,3
Medium,Testing,3,4,15,84,7
Hard,Documentation,49,2,2,69,6
Easy,Development,40,1,20,65,7
Medium,Documentation,61,2,2,10,5
Hard,Development,100,3,13,37,3
Hard,Testing,30,1,6,90,2
Hard,Testing,3,3,12,71,8
Hard,Documentation,84,3,1,14,6
Hard,Development,83,5,9,86,1
Medium,Development,19,3,18,57,6
Medium,Development,24,3,16,70,2
Medium,Documentation,9,4,9,15,2
Hard,Documentation,54,1,4,53,3
Medium,Testing,26,2,9,68,2
Medium,Development,61,1,12,49,7
Easy,Testing,67,5,4,16,8
Easy,Development,18,5,2,87,4
Hard,Testing,61,4,15,55,1
Easy,Testing,19,3,17,88,4
Medium,Development,69,2,4,24,6
Hard,Testing,3,1,13,90,6
Easy,Testing,84,4,10,97,3
Hard,Documentation,75,3,3,58,8
Medium,Testing,59,2,9,34,8
Medium,Development,33,5,15,52,8
Hard,Documentation,99,3,17,42,2
Medium,Development,52,1,2,82,7
Easy,Testing,18,2,16,26,10
Easy,Development,48,3,20,68,4
Medium,Testing,42,1,8,76,5
Easy,Documentation,99,4,13,47,5
Easy,Documentation,63,2,18,49,9
Hard,Development,36,5,13,98,8
Hard,Testing,6,5,12,27,2
Medium,Development,82,2,11,18,10
Medium,Testing,27,4,20,50,1
Hard,Development,17,5,16,69,10
Hard,Testing,91,4,3,71,5
Hard,Development,5,5,6,26,1
Hard,Development,25,1,6,72,1
Easy,Testing,13,3,20,11,4
Hard,Testing,27,4,14,15,4
Medium,Documentation,11,4,8,58,7
Easy,Development,8,2,14,15,2
Hard,Documentation,70,1,5,41,7
Hard,Development,68,4,3,71,10
Medium,Testing,89,1,14,90,5
Medium,Testing,83,1,16,78,7
Easy,Documentation,97,3,13,97,1
Hard,Testing,100,2,1,84,5
Easy,Testing,9,1,7,65,8
Hard,Documentation,50,5,15,86,2
Easy,Testing,68,5,5,51,10
Easy,Testing,27,4,13,30,6
Medium,Testing,89,4,4,53,2
Hard,Documentation,31,2,12,53,1
Medium,Documentation,75,4,17,53,2
Hard,Documentation,8,2,8,47,1
Medium,Testing,8,5,15,84,7
Easy,Documentation,16,5,8,65,7
Easy,Development,12,5,17,91,6
Easy,Documentation,30,4,20,82,9
Medium,Documentation,12,5,1,41,1
Easy,Documentation,43,4,18,34,2
Medium,Development,6,1,2,47,5
Easy,Testing,46,4,13,94,10
Medium,Development,90,3,11,76,9
Easy,Testing,55,3,8,71,2
Hard,Development,24,2,14,21,7
Hard,Testing,57,3,6,61,6
Hard,Testing,42,2,10,55,1
Easy,Development,39,1,12,6,9
Medium,Development,57,5,11,98,9
Medium,Development,45,3,15,17,1
Hard,Testing,98,1,12,29,3
Easy,Documentation,87,2,12,75,1
Easy,Documentation,22,1,2,53,5
Easy,Development,93,5,8,17,3
Easy,Testing,28,2,19,53,9
Hard,Development,82,4,12,87,8
Medium,Documentation,55,3,15,58,5
Hard,Testing,63,4,5,94,5
Medium,Development,76,2,16,73,5
Hard,Documentation,12,3,20,60,8
Hard,Development,34,1,4,61,2
Easy,Testing,81,4,5,58,5
Medium,Development,59,4,1,57,6
Hard,Documentation,3,2,18,96,9
Hard,Documentation,76,3,7,45,2
Medium,Development,49,3,10,38,6
Easy,Development,68,3,12,30,7
Hard,Documentation,83,1,11,48,1
Medium,Development,25,5,19,22,4
Hard,Testing,91,5,11,48,2
Hard,Documentation,30,3,14,90,2
Easy,Testing,25,3,10,45,9
Hard,Development,3,4,14,51,7
Medium,Development,20,5,6,96,1
Hard,Testing,11,3,19,43,9
Medium,Testing,19,4,13,13,7
Hard,Documentation,22,1,12,39,4
Easy,Documentation,73,4,16,32,7
Hard,Development,29,1,14,55,9
Hard,Testing,9,3,10,16,4
Easy,Development,28,5,15,69,9
Medium,Development,55,2,12,55,7
Medium,Development,41,4,14,4,4
Easy,Testing,40,1,20,15,6
Hard,Development,3,2,15,15,4
Hard,Development,10,1,4,67,9
Hard,Testing,48,2,15,77,5
Medium,Documentation,98,4,9,16,1
Medium,Documentation,50,2,16,20,8
Medium,Testing,39,5,3,62,4
Hard,Testing,46,2,17,64,3
Hard,Testing,75,3,9,13,9
Easy,Testing,41,3,9,28,4
Medium,Testing,94,1,5,4,2
Hard,Documentation,16,5,12,73,10
Hard,Development,47,4,1,13,7
Medium,Development,28,4,10,51,9
Easy,Documentation,49,3,12,56,1
Hard,Testing,67,3,10,52,1
Hard,Documentation,17,1,7,71,9
Medium,Development,43,4,5,93,1
Medium,Documentation,4,1,5,43,3
Hard,Development,73,2,10,59,5
Medium,Documentation,21,2,20,67,2
Medium,Testing,44,4,17,98,1
Hard,Development,85,3,2,87,7
Medium,Development,24,3,6,44,4
Easy,Testing,55,4,15,71,2
Medium,Development,51,3,7,10,3
Hard,Documentation,96,2,20,0,4
Hard,Development,81,4,1,25,4
Easy,Testing,58,4,2,21,10
Easy,Documentation,80,1,3,100,7
Hard,Documentation,8,4,19,12,1
Easy,Testing,86,4,15,73,10
Medium,Documentation,12,4,7,92,7
Easy,Development,37,4,16,84,3
Hard,Development,69,4,2,64,5
Easy,Development,65,4,10,29,1
Medium,Testing,33,2,19,47,4
Easy,Documentation,46,2,16,82,8
Easy,Development,49,4,16,65,2
Medium,Documentation,69,2,8,81,2
Easy,Testing,55,1,14,65,1
Easy,Documentation,96,3,3,35,6
Easy,Testing,2,1,14,19,7
Easy,Testing,88,1,5,70,2
Easy,Documentation,5,4,18,8,6
Hard,Documentation,92,4,20,49,4
