Task_Difficulty,Task_Type,Task_Duration,Member_Skill_Level,Member_Experience,Member_Workload
Hard,Documentation,75,3,3,58
Medium,Testing,59,2,9,34
Medium,Development,33,5,15,52
Hard,Documentation,99,3,17,42
Medium,Development,52,1,2,82
Easy,Testing,18,2,16,26
Easy,Development,48,3,20,68
Medium,Testing,42,1,8,76
Easy,Documentation,99,4,13,47
Easy,Documentation,63,2,18,49
Hard,Development,36,5,13,98
Hard,Testing,6,5,12,27
Medium,Development,82,2,11,18
Medium,Testing,27,4,20,50
Hard,Development,17,5,16,69
Hard,Testing,91,4,3,71
Hard,Development,5,5,6,26
Hard,Development,25,1,6,72
Easy,Testing,13,3,20,11
Hard,Testing,27,4,14,15
Medium,Documentation,11,4,8,58
Easy,Development,8,2,14,15
Hard,Documentation,70,1,5,41
Hard,Development,68,4,3,71
Medium,Testing,89,1,14,90
Medium,Testing,83,1,16,78
Easy,Documentation,97,3,13,97
Hard,Testing,100,2,1,84
Easy,Testing,9,1,7,65
Hard,Documentation,50,5,15,86
Easy,Testing,68,5,5,51
Easy,Testing,27,4,13,30
Medium,Testing,89,4,4,53
Hard,Documentation,31,2,12,53
Medium,Documentation,75,4,17,53
Hard,Documentation,8,2,8,47
Medium,Testing,8,5,15,84
Easy,Documentation,16,5,8,65
Easy,Development,12,5,17,91
Easy,Documentation,30,4,20,82
Medium,Documentation,12,5,1,41
Easy,Documentation,43,4,18,34
Medium,Development,6,1,2,47
Easy,Testing,46,4,13,94
Medium,Development,90,3,11,76
Easy,Testing,55,3,8,71
Hard,Development,24,2,14,21
Hard,Testing,57,3,6,61
Hard,Testing,42,2,10,55
Easy,Development,39,1,12,6
Medium,Development,57,5,11,98
Medium,Development,45,3,15,17
Hard,Testing,98,1,12,29
Easy,Documentation,87,2,12,75
Easy,Documentation,22,1,2,53
Easy,Development,93,5,8,17
Easy,Testing,28,2,19,53
Hard,Development,82,4,12,87
Medium,Documentation,55,3,15,58
Hard,Testing,63,4,5,94
Medium,Development,76,2,16,73
Hard,Documentation,12,3,20,60
Hard,Development,34,1,4,61
Easy,Testing,81,4,5,58
Medium,Development,59,4,1,57
Hard,Documentation,3,2,18,96
Hard,Documentation,76,3,7,45
Medium,Development,49,3,10,38
Easy,Development,68,3,12,30
Hard,Documentation,83,1,11,48
Medium,Development,25,5,19,22
Hard,Testing,91,5,11,48
Hard,Documentation,30,3,14,90
Easy,Testing,25,3,10,45
Hard,Development,3,4,14,51
Medium,Development,20,5,6,96
Hard,Testing,11,3,19,43
Medium,Testing,19,4,13,13
Hard,Documentation,22,1,12,39
Easy,Documentation,73,4,16,32
Hard,Development,29,1,14,55
Hard,Testing,9,3,10,16
Easy,Development,28,5,15,69
Medium,Development,55,2,12,55
Medium,Development,41,4,14,4
Easy,Testing,40,1,20,15
Hard,Development,3,2,15,15
Hard,Development,10,1,4,67
Hard,Testing,48,2,15,77
Medium,Documentation,98,4,9,16
Medium,Documentation,50,2,16,20
Medium,Testing,39,5,3,62
Hard,Testing,46,2,17,64
Hard,Testing,75,3,9,13
Easy,Testing,41,3,9,28
Medium,Testing,94,1,5,4
Hard,Documentation,16,5,12,73
Hard,Development,47,4,1,13
Medium,Development,28,4,10,51
Easy,Documentation,49,3,12,56
Hard,Testing,67,3,10,52
Hard,Documentation,17,1,7,71
Medium,Development,43,4,5,93
Medium,Documentation,4,1,5,43
Hard,Development,73,2,10,59
Medium,Documentation,21,2,20,67
Medium,Testing,44,4,17,98
Hard,Development,85,3,2,87
Medium,Development,24,3,6,44
Easy,Testing,55,4,15,71
Medium,Development,51,3,7,10
Hard,Documentation,96,2,20,0
Hard,Development,81,4,1,25
Easy,Testing,58,4,2,21
Easy,Documentation,80,1,3,100
Hard,Documentation,8,4,19,12
Easy,Testing,86,4,15,73
Medium,Documentation,12,4,7,92
Easy,Development,37,4,16,84
Hard,Development,69,4,2,64
Easy,Development,65,4,10,29
Medium,Testing,33,2,19,47
Easy,Documentation,46,2,16,82
Easy,Development,49,4,16,65
Medium,Documentation,69,2,8,81
Easy,Testing,55,1,14,65
Easy,Documentation,96,3,3,35
Easy,Testing,2,1,14,19
Easy,Testing,88,1,5,70
Easy,Documentation,5,4,18,8
Hard,Documentation,92,4,20,49
